,date,pub_counts,pub_contexts,alc_counts,alc_contexts
0,2024-05-27,0,[],0,[]
1,2024-05-13,0,[],1,[' <br>the consumption of a<br>lcohol in all parks']
2,2024-04-29,0,[],0,[]
3,2024-04-15,0,[],1,['b<br>le \nconsumption of a<br>lcohol across all C']
4,2024-03-25,0,[],0,[]
5,2024-03-11,0,[],0,[]
6,2024-02-26,0,[],0,[]
7,2024-02-12,0,[],0,[]
8,2024-01-29,0,[],0,[]
9,2024-01-15,0,[],0,[]
10,2023-12-11,0,[],0,[]
11,2023-12-04,0,[],0,[]
12,2023-11-20,0,[],0,[]
13,2023-11-06,0,[],0,[]
14,2023-10-30,0,[],0,[]
15,2023-10-16,0,[],0,[]
16,2023-09-25,0,[],0,[]
17,2023-09-11,0,[],0,[]
18,2023-08-28,0,[],0,[]
19,2023-07-24,0,[],0,[]
20,2023-07-10,0,[],0,[]
21,2023-06-19,0,[],0,[]
22,2023-05-06,0,[],1,['o<br> allow responsible a<br>lcohol consumption ']
23,2023-05-08,0,[],2,"[' <br>\nÂ» 6.4 Responsible a<br>lcohol consumption ', ' <br>the consumption of a<br>lcohol in se lect C']"
24,2023-04-24,0,[],0,[]
25,2023-03-04,0,[],0,[]
26,2023-03-27,0,[],0,[]
27,2023-03-13,0,[],0,[]
28,2023-02-27,0,[],0,[]
29,2023-06-02,0,[],0,[]
30,2022-01-25,0,[],0,[]
31,2022-12-12,0,[],0,[]
32,2022-12-05,0,[],0,[]
33,2022-11-21,0,[],0,[]
34,2022-10-24,0,[],0,[]
35,2022-10-03,0,[],0,[]
36,2022-08-29,0,[],0,[]
37,2022-07-25,0,[],0,[]
38,2022-07-04,0,[],0,[]
39,2022-06-20,0,[],0,[]
40,2022-05-30,0,[],0,[]
41,2022-05-09,0,[],0,[]
42,2022-04-25,0,[],0,[]
43,2022-04-04,0,[],0,[]
44,2022-03-21,0,[],0,[]
45,2022-03-07,0,[],0,[]
46,2022-02-28,0,[],0,[]
47,2022-02-14,0,[],0,[]
48,2022-01-31,0,[],0,[]
49,2022-01-24,0,[],0,[]
